,timestamp,match_datetime,match_day,match_month,match_year,match_hour,match_minute,robot,method,league,g1_time,g1_score,g2_time,g2_score,g3_time,g3_score,win,type
0,1644588480.0,11/02/2022 10:08,11,2,2022,10,8,robô 1,:england:,ligas américa,7,1,10,0,13,0,1,bts
1,1644591840.0,11/02/2022 11:04,11,2,2022,11,4,robô 1,:england:,ligas américa,3,0,5,1,7,0,1,bts
2,1644592320.0,11/02/2022 11:12,11,2,2022,11,12,robô 1,:england:,ligas américa,11,1,13,0,15,0,1,bts
3,1644592560.0,11/02/2022 11:16,11,2,2022,11,16,robô 1,:england:,ligas américa,15,1,17,0,19,0,1,bts
4,1644598140.0,11/02/2022 12:49,11,2,2022,12,49,robô 1,:england:,ligas américa,49,1,52,0,55,0,1,over
5,1644599040.0,11/02/2022 13:04,11,2,2022,13,4,robô 1,:england:,ligas américa,4,1,7,0,10,0,1,bts
6,1644600120.0,11/02/2022 13:22,11,2,2022,13,22,robô 1,:england:,ligas américa,22,1,25,0,28,0,1,bts
7,1644600840.0,11/02/2022 13:34,11,2,2022,13,34,robô 1,:england:,ligas américa,34,1,37,0,40,0,1,over
8,1644605880.0,11/02/2022 14:58,11,2,2022,14,58,robô 1,:england:,ligas américa,58,1,1,0,4,0,1,bts
9,1644616500.0,11/02/2022 17:55,11,2,2022,17,55,robô 1,:england:,ligas américa,55,1,58,0,1,0,1,bts
10,1644616860.0,11/02/2022 18:01,11,2,2022,18,1,robô 1,:england:,ligas américa,1,0,4,0,7,1,1,bts
11,1644617820.0,11/02/2022 18:17,11,2,2022,18,17,robô 1,:england:,ligas américa,16,0,19,1,22,0,1,bts
12,1644620100.0,11/02/2022 18:55,11,2,2022,18,55,robô 1,:england:,ligas américa,55,1,58,0,1,0,1,bts
13,1644620640.0,11/02/2022 19:04,11,2,2022,19,4,robô 1,:england:,ligas américa,4,0,7,0,10,0,0,bts
14,1644621780.0,11/02/2022 19:23,11,2,2022,19,23,robô 1,:england:,ligas américa,22,0,25,1,28,0,1,bts
15,1644666360.0,12/02/2022 07:46,12,2,2022,7,46,robô 1,:england:,ligas américa,46,0,49,0,52,1,1,bts
16,1644668760.0,12/02/2022 08:26,12,2,2022,8,26,robô 1,:england:,ligas américa,25,0,28,0,31,1,1,bts
17,1644671580.0,12/02/2022 09:13,12,2,2022,9,13,robô 1,:england:,ligas américa,13,1,16,0,19,0,1,over
18,1644671940.0,12/02/2022 09:19,12,2,2022,9,19,robô 1,:england:,ligas américa,19,0,22,1,25,0,1,bts
19,1644672840.0,12/02/2022 09:34,12,2,2022,9,34,robô 1,:england:,ligas américa,34,0,37,1,40,0,1,bts
20,1644674820.0,12/02/2022 10:07,12,2,2022,10,7,robô 1,:england:,ligas américa,7,0,10,1,13,0,1,over
21,1644675420.0,12/02/2022 10:17,12,2,2022,10,17,robô 1,:england:,ligas américa,16,1,19,0,22,0,1,bts
22,1644678360.0,12/02/2022 11:06,12,2,2022,11,6,robô 1,:england:,ligas américa,5,1,7,0,9,0,1,over
23,1644679200.0,12/02/2022 11:20,12,2,2022,11,20,robô 1,:england:,ligas américa,19,0,21,1,23,0,1,bts
24,1644680640.0,12/02/2022 11:44,12,2,2022,11,44,robô 1,:england:,ligas américa,43,0,45,0,47,1,1,bts
